City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Ponta Delgada,PT,2022-02-06 00:13:46,37.7333,-25.6667,59.5,88,20,8.05
68,Marawi,PH,2022-02-06 00:14:16,7.9986,124.2928,68.65,73,16,3.06
69,Russell,US,2022-02-06 00:09:57,32.3502,-85.1999,44.2,68,0,5.44
70,Japura,ID,2022-02-06 00:14:18,-0.3167,102.35,72.79,98,95,2.93
71,Carnarvon,AU,2022-02-06 00:14:19,-24.8667,113.6333,80.67,78,100,13.8
72,Saldanha,ZA,2022-02-06 00:14:19,-33.0117,17.9442,68.07,70,43,4.34
73,Partur,IN,2022-02-06 00:14:20,19.6,76.2167,60.98,30,13,6.82
74,Bluff,NZ,2022-02-06 00:14:21,-46.6,168.3333,57.79,62,61,10.47
75,Nanortalik,GL,2022-02-06 00:14:22,60.1432,-45.2371,8.71,62,76,13.6
76,Balasheyka,RU,2022-02-06 00:14:22,53.2841,48.0851,21.15,96,100,4.43
77,Cap Malheureux,MU,2022-02-06 00:14:23,-19.9842,57.6142,79.47,77,100,5.99
78,Madisonville,US,2022-02-06 00:14:24,37.3281,-87.4989,26.46,91,5,3.47
79,Srednekolymsk,RU,2022-02-06 00:12:16,67.45,153.6833,-36.33,99,35,3.24
80,Akyab,MM,2022-02-06 00:14:25,20.15,92.9,65.14,92,48,10.07
81,Batticaloa,LK,2022-02-06 00:14:25,7.7102,81.6924,76.03,75,77,5.14
82,Necochea,AR,2022-02-06 00:14:26,-38.5473,-58.7368,60.04,66,100,19.77
83,Pedernales,DO,2022-02-06 00:13:47,18.0384,-71.744,76.05,71,21,3.31
84,Taltal,CL,2022-02-06 00:14:16,-25.4,-70.4833,68.43,72,22,4.45
85,Panguna,PG,2022-02-06 00:14:29,-6.3164,155.4848,83.14,59,60,2.89
86,Zhezkazgan,KZ,2022-02-06 00:14:29,47.8043,67.7144,12.47,80,94,13.31
87,Sept-Iles,CA,2022-02-06 00:14:30,50.2001,-66.3821,2.05,59,26,4.0
88,Krasnyy Luch,UA,2022-02-06 00:14:31,48.1395,38.9371,18.34,96,87,4.83
89,Aloleng,PH,2022-02-06 00:14:31,16.1307,119.7824,78.55,64,46,14.27
90,Qaanaaq,GL,2022-02-06 00:13:33,77.484,-69.3632,0.63,97,100,4.38
91,Seoul,KR,2022-02-06 00:12:51,37.5683,126.9778,22.44,67,41,1.59
92,Yellowknife,CA,2022-02-06 00:14:44,62.456,-114.3525,-13.59,86,97,5.99
93,Faanui,PF,2022-02-06 00:15:34,-16.4833,-151.75,81.16,73,14,20.58
94,Hilo,US,2022-02-06 00:15:35,19.7297,-155.09,78.53,78,100,9.22
95,Chardara,KZ,2022-02-06 00:15:36,41.2547,67.9692,47.84,60,100,23.73
96,Egvekinot,RU,2022-02-06 00:15:37,66.3167,-179.1667,-8.07,87,9,10.89
97,Hovd,MN,2022-02-06 00:15:37,48.0056,91.6419,-13.85,76,26,3.8
98,Saint Anthony,US,2022-02-06 00:15:21,45.0205,-93.218,26.29,69,100,5.01
99,Butaritari,KI,2022-02-06 00:15:39,3.0707,172.7902,82.67,74,51,18.7
100,Lewistown,US,2022-02-06 00:15:39,40.5992,-77.5714,24.42,79,0,0.0
101,Faya,SA,2022-02-06 00:15:40,18.3851,42.4509,50.11,75,12,2.59
102,Tagusao,PH,2022-02-06 00:15:41,9.1924,117.8141,78.73,81,80,6.2
103,Qostanay,KZ,2022-02-06 00:15:42,53.1667,63.5833,14.29,79,0,8.95
104,Beloha,MG,2022-02-06 00:15:43,-25.1667,45.05,73.62,91,100,20.13
105,Misratah,LY,2022-02-06 00:15:44,32.3754,15.0925,60.4,58,69,4.36
106,Fougamou,GA,2022-02-06 00:15:47,-1.2154,10.5838,72.97,99,29,1.68
107,Luderitz,NA,2022-02-06 00:15:48,-26.6481,15.1594,65.93,83,96,9.91
108,Sao Filipe,CV,2022-02-06 00:15:49,14.8961,-24.4956,73.09,72,0,9.24
109,Santa Cruz,BO,2022-02-06 00:14:45,-17.8,-63.1667,71.06,94,100,8.05
110,Bonanza,NI,2022-02-06 00:15:50,14.0289,-84.591,69.67,93,20,2.66
