City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Pacific Grove,US,36.6177,-121.9166,56.57,65,0,4.61,clear sky
81,Mapiripan,CO,2.8892,-72.1256,82.62,60,100,4.05,overcast clouds
82,Biak,ID,-0.9131,122.8766,76.69,80,82,2.39,broken clouds
83,Golspie,GB,57.9727,-3.978,51.55,85,100,15.1,overcast clouds
84,Luanda,AO,-8.8368,13.2343,80.53,68,56,15.61,broken clouds
85,Hithadhoo,MV,-0.6,73.0833,82.85,68,100,14.09,overcast clouds
86,Itoman,JP,26.1247,127.6694,68.4,73,100,17.27,overcast clouds
87,Channel-Port Aux Basques,CA,47.5702,-59.1367,23.16,63,100,18.68,overcast clouds
88,Wadena,US,46.4425,-95.1361,5.25,85,100,4.61,overcast clouds
89,Puerto Escondido,MX,15.85,-97.0667,72.43,94,0,8.05,smoke
90,Lebu,CL,-37.6167,-73.65,64.69,76,5,12.59,clear sky
91,Dingle,PH,10.9995,122.6711,76.33,84,5,9.06,clear sky
92,Agapovka,RU,53.2973,59.1348,11.41,97,100,0.83,light snow
93,Narsaq,GL,60.9167,-46.05,10.62,56,100,30.38,overcast clouds
94,Yellowknife,CA,62.456,-114.3525,-3.59,91,100,6.91,light snow
95,Hasaki,JP,35.7333,140.8333,36.0,45,89,7.81,overcast clouds
96,Egvekinot,RU,66.3167,-179.1667,-20.96,85,8,12.77,clear sky
97,Upernavik,GL,72.7868,-56.1549,-7.42,94,100,7.96,overcast clouds
98,Dikson,RU,73.5069,80.5464,-6.27,95,100,25.46,overcast clouds
99,Tasiilaq,GL,65.6145,-37.6368,26.76,55,100,56.86,overcast clouds
100,Madang,PG,-5.2246,145.7966,77.34,92,100,4.0,overcast clouds
101,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,28.99,93,100,15.66,shower snow
102,Atuona,PF,-9.8,-139.0333,78.3,76,29,19.8,scattered clouds
103,Rio Gallegos,AR,-51.6226,-69.2181,77.05,27,75,17.27,broken clouds
104,Kahului,US,20.8947,-156.47,72.84,79,0,8.05,clear sky
105,Cuamba,MZ,-14.8031,36.5372,79.72,77,56,3.98,light rain
106,Albany,US,42.6001,-73.9662,33.31,84,100,3.0,overcast clouds
107,Cape Town,ZA,-33.9258,18.4232,83.26,43,45,10.33,scattered clouds
108,Hobart,AU,-42.8794,147.3294,62.46,78,100,10.36,overcast clouds
109,Broken Hill,AU,-31.95,141.4333,78.24,28,86,12.15,overcast clouds
110,Hohhot,CN,40.8106,111.6522,8.89,40,0,4.47,clear sky
111,Passo Fundo,BR,-28.2628,-52.4067,67.59,49,0,7.61,clear sky
112,Barrow,US,71.2906,-156.7887,-27.38,68,40,8.05,scattered clouds
