City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
148,Sao Jose Da Coroa Grande,BR,85.46,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
149,Arraial Do Cabo,BR,89.56,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
150,Wajir,KE,98.56,few clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
151,Cairns,AU,76.95,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
157,Oistins,BB,82.49,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
158,Saldanha,ZA,68.49,broken clouds,-33.0117,17.9442,Blue Bay Lodge
161,Vila Velha,BR,84.15,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
163,Lorengau,PG,81.45,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
166,Tamandare,BR,85.59,broken clouds,-8.7597,-35.1047,Pousada 100 Passos
167,Galle,LK,79.16,overcast clouds,6.0367,80.217,Amangalla
168,Hirara,JP,70.3,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
169,Daru,PG,80.8,overcast clouds,-9.0763,143.2092,Daru Lodge
170,Souillac,MU,82.78,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
171,Yola,NG,94.82,scattered clouds,9.2,12.4833,Muna Hotel
174,Piacabucu,BR,87.42,clear sky,-10.4056,-36.4344,Piaçabuçu News
175,Vila Franca Do Campo,PT,63.01,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
177,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
178,Ishigaki,JP,70.9,overcast clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
183,Sao Filipe,CV,74.5,clear sky,14.8961,-24.4956,Hotel Xaguate
186,Ahipara,NZ,72.77,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
188,Castro,BR,73.89,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
190,Saint-Philippe,RE,81.99,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
193,Bengkulu,ID,77.13,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
198,Qui Nhon,VN,74.12,clear sky,13.7667,109.2333,Hoang Yen Canary Hotel
199,Bambous Virieux,MU,82.65,broken clouds,-20.3428,57.7575,Casa Tia Villa
200,Meulaboh,ID,76.69,overcast clouds,4.1363,96.1285,Kost Pria
201,Otane,NZ,65.01,overcast clouds,-39.8833,176.6333,Ludlow Farmstay
202,Ballina,AU,66.16,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
203,Chuy,UY,70.27,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
209,Cayhagan,PH,78.8,broken clouds,9.6697,122.4256,Melrose Beach Resort
211,Najran,SA,66.85,clear sky,17.4924,44.1277,محمد هادي ال فطيح
215,East London,ZA,83.34,clear sky,-33.0153,27.9116,Tu Casa
217,Sri Aman,MY,78.85,overcast clouds,1.2376,111.4621,Seri Simanggang Hotel
218,Celestun,MX,72.37,clear sky,20.8667,-90.4,Posada Lilia
